time_step,feature_index,feature_name,abs_ig_attribution
6,26,Bwd IAT Mean,1.1726664524758235e-05
6,27,Bwd IAT Std,1.1063806596212089e-05
6,28,Bwd IAT Max,1.4621340596931987e-05
6,29,Bwd IAT Min,8.476188668282703e-06
6,30,Fwd PSH Flags,6.436499916162575e-06
6,31,Bwd PSH Flags,0.0
6,32,Fwd URG Flags,0.0
6,33,Bwd URG Flags,0.0
6,34,Fwd Header Length,1.0992832422118681e-08
6,35,Bwd Header Length,2.490642714292335e-07
6,36,Fwd Packets/s,1.7857444618130103e-05
6,37,Bwd Packets/s,3.6054334486834705e-06
6,38,Min Packet Length,8.512025488016661e-06
6,39,Max Packet Length,8.876957508618943e-06
6,40,Packet Length Mean,4.945573436998529e-06
6,41,Packet Length Std,1.4438561265706085e-05
6,42,Packet Length Variance,7.057895345496945e-06
6,43,FIN Flag Count,1.5742270988994278e-05
6,44,SYN Flag Count,8.295697625726461e-05
6,45,RST Flag Count,3.856748662656173e-07
6,46,PSH Flag Count,0.0003189349954482168
6,47,ACK Flag Count,0.00030133192194625735
6,48,URG Flag Count,3.676382766570896e-05
6,49,CWE Flag Count,0.0
6,50,ECE Flag Count,1.3513727026293054e-07
6,51,Down/Up Ratio,1.1474066923256032e-05
6,52,Average Packet Size,3.218388155801222e-05
6,53,Avg Fwd Segment Size,7.337507668125909e-07
6,54,Avg Bwd Segment Size,2.632335053931456e-05
6,55,Fwd Header Length.1,5.679912651324059e-10
6,56,Fwd Avg Bytes/Bulk,0.0
6,57,Fwd Avg Packets/Bulk,0.0
6,58,Fwd Avg Bulk Rate,0.0
6,59,Bwd Avg Bytes/Bulk,0.0
6,60,Bwd Avg Packets/Bulk,0.0
6,61,Bwd Avg Bulk Rate,0.0
6,62,Subflow Fwd Packets,1.056716811831393e-07
6,63,Subflow Fwd Bytes,1.6058237406468834e-07
6,64,Subflow Bwd Packets,1.8926833433852153e-07
6,65,Subflow Bwd Bytes,1.0861154464691936e-07
6,66,Init_Win_bytes_forward,4.222843926982023e-06
6,67,Init_Win_bytes_backward,9.292964023188688e-06
6,68,act_data_pkt_fwd,6.47494005079352e-08
6,69,min_seg_size_forward,1.6260071414309074e-11
6,70,Active Mean,8.183508839465503e-07
6,71,Active Std,7.446919880749192e-07
6,72,Active Max,4.1701191548781935e-06
6,73,Active Min,3.729350908088236e-07
6,74,Idle Mean,4.176998118055053e-05
6,75,Idle Std,5.546481588680763e-06
6,76,Idle Max,1.5511583114857785e-05
6,77,Idle Min,0.00015057316340971738
7,0,Destination Port,7.217562233563513e-05
7,1,Flow Duration,7.224611908895895e-05
7,2,Total Fwd Packets,1.7827025544647768e-07
7,3,Total Backward Packets,1.3204184767801053e-07
7,4,Total Length of Fwd Packets,1.6531964774912922e-07
7,5,Total Length of Bwd Packets,1.196711281181706e-07
7,6,Fwd Packet Length Max,7.671602361369878e-06
7,7,Fwd Packet Length Min,1.5458790585398674e-05
7,8,Fwd Packet Length Mean,1.7711090549710207e-05
7,9,Fwd Packet Length Std,1.8780175423671608e-06
7,10,Bwd Packet Length Max,0.00015800341498106718
7,11,Bwd Packet Length Min,9.624001904739998e-06
7,12,Bwd Packet Length Mean,0.0002730357809923589
7,13,Bwd Packet Length Std,0.0003243773535359651
7,14,Flow Bytes/s,1.4010493032401428e-06
